EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,1,29.0987,480.8789,0.0162,1666,107.8899,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,10,43.5509,589.4057,0.0242,1725,108.0209,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,11,30.8081,672.1870,0.0171,1991,107.8912,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,12,23.2712,1320.5283,0.0129,1479,107.8745,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,13,42.7739,538.8212,0.0238,1715,108.0058,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,14,32.7894,930.1590,0.0182,1757,107.9525,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,15,50.5051,246.8924,0.0281,1713,107.9545,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,16,46.2704,753.8993,0.0257,2059,107.9683,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,17,38.0730,1172.9847,0.0212,1911,108.0291,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,18,26.3792,1292.6136,0.0147,1661,107.8957,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,19,34.3434,357.3596,0.0191,1630,108.0160,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,2,35.3535,821.7254,0.0197,1712,107.9654,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,20,37.3349,11.6376,0.0208,1293,107.9818,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,21,19.1142,489.2680,0.0106,2057,107.9043,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,22,43.1235,392.1120,0.0240,1714,107.9416,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,23,28.5548,680.5967,0.0159,1613,107.9489,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,24,40.4817,868.8738,0.0225,1870,107.9263,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,25,31.3131,317.8561,0.0174,1910,108.0130,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,26,29.3706,399.4463,0.0163,1505,107.9028,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,27,53.3023,819.7605,0.0296,2094,107.9940,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,28,47.9798,326.2442,0.0267,1916,107.8872,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,29,41.8803,628.7937,0.0233,1910,107.8954,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,3,52.3699,124.3040,0.0291,2118,107.9975,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,30,63.0925,117.8890,0.0351,1974,108.0477,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,4,41.2976,1186.0180,0.0230,2012,107.9522,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,5,41.2976,662.8316,0.0230,1705,108.0697,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,6,29.3318,369.0112,0.0163,1801,107.8774,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,7,35.1204,320.7199,0.0195,1893,107.9548,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,8,27.0396,1534.6140,0.0150,1739,107.9389,0
EXP9_N5,AODV,GAUSS,1,5,0,20,20,0.3,200,9,45.5322,209.8019,0.0253,1891,107.9208,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,1,49.6768,495.5982,0.0481,3884,172.8802,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,10,51.6158,530.7033,0.0500,4629,172.9099,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,11,60.2630,593.9823,0.0584,4405,172.8470,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,12,43.5480,695.2046,0.0422,3581,172.7466,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,13,36.4609,717.2015,0.0353,3367,172.6928,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,14,54.4908,380.2804,0.0528,5155,172.9788,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,15,24.9164,893.8139,0.0241,4238,172.7693,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,16,48.8968,188.0891,0.0474,4418,173.0619,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,17,58.3463,224.0648,0.0565,4051,172.9259,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,18,42.8571,138.1391,0.0415,3966,172.7974,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,19,48.3619,354.9363,0.0469,4649,172.9557,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,2,47.6265,296.2263,0.0462,4401,172.7563,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,20,42.1885,575.7588,0.0409,4024,172.7210,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,21,60.6419,640.6238,0.0588,5489,172.8692,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,22,52.5741,478.3714,0.0510,4567,172.7614,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,23,36.8175,536.2817,0.0357,4491,172.6720,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,24,33.0065,491.1645,0.0320,3877,172.6803,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,25,33.5413,417.1727,0.0325,4638,172.8034,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,26,44.1498,818.3767,0.0428,4263,172.6769,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,27,42.7457,184.2220,0.0414,4422,172.8147,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,28,37.3969,641.7027,0.0362,4714,173.0524,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,29,45.9550,653.3148,0.0445,4408,172.7137,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,3,42.0103,388.5180,0.0407,3656,172.8670,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,30,70.2697,353.7983,0.0681,4642,172.7321,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,4,50.8803,686.8775,0.0493,5051,172.7171,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,5,58.7252,314.1070,0.0569,4110,173.0134,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,6,56.8754,603.4967,0.0551,4760,172.7290,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,7,47.3145,415.5343,0.0459,4208,172.7913,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,8,65.2552,259.1790,0.0632,4238,173.0108,0
EXP9_N8,AODV,GAUSS,1,8,0,20,20,0.3,200,9,58.0566,298.1100,0.0563,5038,173.3330,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,1,28.2051,503.0162,0.0157,1242,107.8897,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,10,41.8026,479.3488,0.0232,1330,107.9746,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,11,28.6713,491.8055,0.0159,1542,107.9021,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,12,22.6107,1337.4697,0.0126,1130,107.8786,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,13,41.4918,584.7532,0.0231,1309,108.0426,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,14,29.4483,637.3009,0.0164,1355,107.9000,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,15,49.8446,261.6790,0.0277,1294,107.9651,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,16,45.2214,775.5689,0.0251,1632,107.9524,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,17,35.7420,1097.6780,0.0199,1444,108.0019,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,18,23.2712,936.2786,0.0129,1240,107.9074,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,19,33.3333,368.1691,0.0185,1218,108.0036,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,2,34.1880,860.7867,0.0190,1325,107.9576,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,20,36.3636,9.4385,0.0202,866,107.9476,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,21,18.6480,496.9617,0.0104,1645,107.9050,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,22,41.6861,381.4604,0.0232,1291,107.9604,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,23,28.4771,816.1516,0.0158,1191,107.9360,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,24,39.2385,934.4034,0.0218,1457,107.9307,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,25,31.3131,317.8455,0.0174,1529,108.0144,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,26,28.6325,376.7605,0.0159,1123,107.8915,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,27,49.9611,891.8220,0.0278,1638,107.9582,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,28,45.6876,312.7561,0.0254,1420,107.8526,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,29,40.5594,644.2674,0.0226,1505,107.8749,0
EXP9_N5,HSAQMAODV,GAUSS,1,5,0,20,20,0.3,200,3,53.2246,170.0589,0.0296,1866,108.0166,0
